学年,対象の漢字,読み,文章,ぶんしょう
4,共,とも,{勇者}が{仲間}たちと[共]にま{王}をたおす{旅}に{出}る。,{ゆうしゃ}が{なかま}たちと[とも]にま{おう}をたおす{たび}に{で}る。
4,兵,ひょう,[兵]{庫県}の{県庁所在地}は{神戸市}だ。,[ひょう]{ごけん}の{けんちょうしょざいち}は{こうべし}だ。
4,兵,へい,セーラー{服}は、{水}[兵]が{着}るものでもある。,セーラー{ふく}は、{すい}[へい]が{き}るものでもある。
4,典,てん,{映画館}の{入場者特}[典]でパンフレットをもらった。,{えいがかん}の{にゅうじょうしゃとく}[てん]でパンフレットをもらった。
4,冷,さ,たこ{焼}きが[冷]める{前}にほおばる。,たこ{や}きが[さ]める{まえ}にほおばる。
4,冷,つめ,{運動後}に[冷]たいジュースをがぶ{飲}みする。,{うんどうご}に[つめ]たいジュースをがぶ{の}みする。
4,冷,ひ,やけどした{部分}を{氷}で[冷]やす。,やけどした{ぶぶん}を{こおり}で[ひ]やす。
4,冷,れい,{雪女}がとてつもない[冷]{気}を{放}つ。,{ゆきおんな}がとてつもない[れい]{き}を{はな}つ。
4,初,はつ,{群馬県}には{日本}[初]の{製糸工場}が{建}てられた。,{ぐんまけん}には{にっぽん}[はつ]の{せいしこうじょう}が{た}てられた。
4,初,しょ,[初]{心者向}けのジグソーパズルを{買}う。,[しょ]{しんしゃむ}けのジグソーパズルを{か}う。
4,初,はじ,{本物}のクマを[初]めて{見}る。,{ほんもの}のクマを[はじ]めて{み}る。
4,初,はつ,[初]{夢}で{富士山}の{夢}を{見}た。,[はつ]{ゆめ}で{ふじやま}の{ゆめ}を{み}た。
4,別,べつ,{目}が{悪}く、キャベツとレタスを{区}[別]できない。,{め}が{わる}く、キャベツとレタスを{く}[べつ]できない。
4,別,わか,{長}い{旅}の{中}で、{何度}も{出会}いと[別]れをくり{返}した。,{なが}い{たび}の{なか}で、{なんど}も{であ}いと[わか]れをくり{かえ}した。
4,利,り,ボロボロの{服}をぞうきんにして{再}[利]{用}する。,ボロボロの{ふく}をぞうきんにして{さい}[り]{よう}する。
4,刷,さつ,クラス{全員分}のプリントを{印}[刷]する。,クラス{ぜんいんぶん}のプリントを{いん}[さつ]する。
4,刷,す,インクをつけて{版画}を[刷]るときはきんちょうする。,インクをつけて{はんが}を[す]るときはきんちょうする。
4,副,ふく,かぜ{薬}の[副]{作用}でねむくなる。,かぜ{ぐすり}の[ふく]{さよう}でねむくなる。
4,功,こう,{素晴}らしい[功]{績}をたたえて{賞状}がおくられる。,{すば}らしい[こう]{せき}をたたえて{しょうじょう}がおくられる。
4,加,か,{昼休}みのドッジボールに{参}[加]する。,{ひるやす}みのドッジボールに{さん}[か]する。
4,加,くわ,{料理}がへたな{兄}が、{肉}じゃがに{大量}の{塩}を[加]える。,{りょうり}がへたな{あに}が、{にく}じゃがに{たいりょう}の{しお}を[くわ]える。
4,努,つと,{授業}に{集中}するよう[努]める。,{じゅぎょう}に{しゅうちゅう}するよう[つと]める。
4,努,ど,ゆうじくんは[努]{力家}だ。,ゆうじくんは[ど]{りょくか}だ。
4,労,ろう,{合戦}での{功}[労]に{応}じたほうびをあたえる。,{かっせん}での{こう}[ろう]に{おう}じたほうびをあたえる。
4,勇,いさ,[勇]み{足}な{行動}をしないよう、{言}い{聞}かせる。,[いさ]み{あし}な{こうどう}をしないよう、{い}い{き}かせる。
4,勇,ゆう,{力強}い{言葉}に[勇]{気}をもらう。,{ちからづよ}い{ことば}に[ゆう]{き}をもらう。
4,包,つつ,[包]みを{小}わきにかかえて{歩}く。,[つつ]みを{こ}わきにかかえて{ある}く。
4,包,ほう,きょう{悪犯}を[包]{囲}してつかまえる。,きょう{わるはん}を[ほう]{い}してつかまえる。
4,卒,そつ,[卒]{業式}の{日}に{泣}いてしまった。,[そつ]{ぎょうしき}の{ひ}に{な}いてしまった。
4,協,きょう,{仲間}たちと[協]{力}して、ま{王}をたおすことができた。,{なかま}たちと[きょう]{りょく}して、ま{おう}をたおすことができた。
4,単,たん,{英}[単]{語}をがんばって{暗記}する。,{えい}[たん]{ご}をがんばって{あんき}する。
4,博,はく,{一九七〇年}、{大阪}で{万国}[博]{覧会}が{開}かれた。,{いちきゅうななれいねん}、{おおさか}で{ばんこく}[はく]{らんかい}が{ひら}かれた。
4,印,しるし,{自分}のものだと{分}かるように、{道具}に[印]をつけておく。,{じぶん}のものだと{わ}かるように、{どうぐ}に[しるし]をつけておく。
4,参,さん,{遠足}におかしを{持}[参]する。,{えんそく}におかしを{じ}[さん]する。
4,参,まい,おぼんの{日}に{墓}[参]りに{行}く。,おぼんの{ひ}に{はか}[まい]りに{い}く。
4,司,し,{討論会}で[司]{会}の{役}を{引}き{受}ける。,{とうろんかい}で[し]{かい}の{やく}を{ひ}き{う}ける。
4,各,かく,{明日}の{図工}の{時間}は、[各]{自絵}の{具}を{持}ってきてください。,{あす}の{ずこう}の{じかん}は、[かく]{じえ}の{ぐ}を{も}ってきてください。
4,周,しゅう,{桜}の{木}の[周]{辺}でお{花見}をする。,{さくら}の{き}の[しゅう]{へん}でお{はなみ}をする。
4,周,まわ,[周]りの{人}に{助}けを{求}める。,[まわ]りの{ひと}に{たす}けを{もと}める。
4,唱,しょう,{合}[唱]の{練習}に{本気}で{取}り{組}む。,{がっ}[しょう]の{れんしゅう}に{ほんき}で{と}り{く}む。
4,唱,とな,まほう{使}いがじゅもんを[唱]える。,まほう{つか}いがじゅもんを[とな]える。
4,器,き,ぼくは{不}[器]{用}で{絵}をかくのが{苦手}だ。,ぼくは{ぶ}[き]{よう}で{え}をかくのが{にがて}だ。
4,固,かた,{紙}ねんどをかわかして[固]める。,{かみ}ねんどをかわかして[かた]める。
4,固,こ,{木}の{板}をネジでとめて[固]{定}する。,{き}の{いた}をネジでとめて[こ]{てい}する。
4,城,しろ,[城]のあちこちにわなをしかける。,[しろ]のあちこちにわなをしかける。
4,城,じょう,[城]{門}に{敵}がせめこんでくる。,[じょう]{もん}に{てき}がせめこんでくる。
4,埼,さい,[埼]{玉県}にある{鉄道博物館}に{行}く。,[さい]{たまけん}にある{てつどうはくぶつかん}に{い}く。
4,塩,えん,{海}の{水}がしょっぱいのは、[塩]{分}がとけこんでいるからだ。,{うみ}の{みず}がしょっぱいのは、[えん]{ぶん}がとけこんでいるからだ。
4,塩,しお,この{肉}じゃが、なんだか[塩]からくない？,この{にく}じゃが、なんだか[しお]からくない？
4,変,か,このシリーズの{第四作目}では{主人公}が[変]わる。,このシリーズの{だいよんさくめ}では{しゅじんこう}が[か]わる。
4,変,へん,ヨウ{素液}を{加}えると、でんぷんが[変]{色}する。,ヨウ{そえき}を{くわ}えると、でんぷんが[へん]{しょく}する。
4,夫,おっと,{家}に{来}た{友達}に[夫]をしょうかいする。,{いえ}に{き}た{ともだち}に[おっと]をしょうかいする。
4,夫,ふ,{近所}に{子供}のいる[夫]{妻}が{引}っこしてくる。,{きんじょ}に{こども}のいる[ふ]{さい}が{ひ}っこしてくる。
4,失,うしな,ネコを{追}いかけていたが{見}[失]った。,ネコを{お}いかけていたが{み}[うしな]った。
4,失,しつ,お{客}さんに[失]{礼}なことを{言}っておこられた。,お{きゃく}さんに[しつ]{れい}なことを{い}っておこられた。
4,奈,なら,[奈]{良}の{大仏}は{約十五}メートルの{大}きさがある。,[なら]{}の{だいぶつ}は{やくじゅうご}メートルの{おお}きさがある。
4,好,こう,{今日}のごはんは{大}[好]{物}のハンバーグだ。,{きょう}のごはんは{だい}[こう]{ぶつ}のハンバーグだ。
4,好,この,{宮田}さんはホラー{小説}が[好]みだ。,{みやた}さんはホラー{しょうせつ}が[この]みだ。
4,好,す,{姉}はモンブランが{大}[好]きだ。,{あね}はモンブランが{だい}[す]きだ。
4,媛,えひめ,スーパーで{愛}[媛]{県}のミカンが{売}られていた。,スーパーで{}[えひめ]{けん}のミカンが{う}られていた。
4,季,き,[季]{節}の{変}わり{目}にかぜを{引}いてしまう。,[き]{せつ}の{か}わり{め}にかぜを{ひ}いてしまう。
4,孫,そん,タイムマシンで{自分}の{子}[孫]に{会}いに{行}く。,タイムマシンで{じぶん}の{し}[そん]に{あ}いに{い}く。
4,孫,まご,おじいちゃんが[孫]をあまやかす。,おじいちゃんが[まご]をあまやかす。
4,完,かん,{夏休}みの{自由研究}を[完]{成}させる。,{なつやす}みの{じゆうけんきゅう}を[かん]{せい}させる。
4,官,かん,{警察}[官]が{犯人}を{取}りおさえた。,{けいさつ}[かん]が{はんにん}を{と}りおさえた。
4,害,がい,{運動会}の{障}[害]{物競走}で{一位}をとった。,{うんどうかい}の{しょう}[がい]{ぶつきょうそう}で{いちい}をとった。
4,富,と,{村田博士}は、こん{虫}の{知識}に[富]んでいる。,{むらたはかせ}は、こん{ちゅう}の{ちしき}に[と]んでいる。
4,富,とみ,[富]をつかさどる{神様}においのりする。,[とみ]をつかさどる{かみさま}においのりする。
4,富,ふ,ビタミンが{豊}[富]な{野菜}を{食}べる。,ビタミンが{ほう}[ふ]な{やさい}を{た}べる。
4,察,さつ,{警}[察]{官}になることを{目指}して{勉強}する。,{けい}[さつ]{かん}になることを{めざ}して{べんきょう}する。
4,岐,ぎ,{関ケ原}の{戦}いは[岐]{阜県}で{起}こった。,{せきがはら}の{たたか}いは[ぎ]{ふけん}で{お}こった。
4,岡,おか,おいしいお{茶}で{有名}な、{静}[岡]{県}に{行}く。,おいしいお{ちゃ}で{ゆうめい}な、{しず}[おか]{けん}に{い}く。
4,崎,さき,{長}[崎]{県}は{島}の{数}の{多}さでは{日本一}だ。,{なが}[さき]{けん}は{しま}の{かず}の{おお}さでは{にっぽんいち}だ。
4,巣,す,ツバメの[巣]を{使}った{中国}の{料理}を{食}べる。,ツバメの[す]を{つか}った{ちゅうごく}の{りょうり}を{た}べる。
4,差,さ,カーテンのすき{間}から{光}が[差]す。,カーテンのすき{ま}から{ひかり}が[さ]す。
4,差,さ,{二位}と{大}[差]をつけてゴールする。,{にい}と{たい}[さ]をつけてゴールする。
4,希,き,[希]{少}な{鉱石}が{高値}で{取引}される。,[き]{しょう}な{こうせき}が{たかね}で{とりひき}される。
4,席,せき,{新幹線}の[席]を{予約}する。,{しんかんせん}の[せき]を{よやく}する。
4,帯,お,かぶと{虫}は{丸}みを[帯]びた{姿}をしている。,かぶと{むし}は{まる}みを[お]びた{すがた}をしている。
4,帯,おび,{着物}の[帯]をきつくしめ{直}す。,{きもの}の[おび]をきつくしめ{なお}す。
4,帯,たい,{海岸地}[帯]にある{街}が{本}で{取}り{上}げられる。,{かいがんち}[たい]にある{まち}が{ほん}で{と}り{あ}げられる。
4,底,そこ,ぬまの[底]からカッパが{現}れた。,ぬまの[そこ]からカッパが{あらわ}れた。
4,底,てい,[底]{辺}と{高}さから{四角形}の{面積}を{計算}する。,[てい]{へん}と{たか}さから{よんかくけい}の{めんせき}を{けいさん}する。
4,府,ふ,{政}[府]がきん{急事態宣言}を{出}した。,{せい}[ふ]がきん{きゅうじたいせんげん}を{だ}した。
4,康,こう,{健}[康]に{気}をつけて{規則正}しい{生活}をする。,{けん}[こう]に{き}をつけて{きそくただ}しい{せいかつ}をする。
4,建,けん,{近所}に{大}きなマンションが[建]{設}される。,{きんじょ}に{おお}きなマンションが[けん]{せつ}される。
4,建,た,ずっと{空}き{地}だったところに{家}が[建]つ。,ずっと{あ}き{ち}だったところに{いえ}が[た]つ。
4,径,けい,{円}の{直}[径]から、その{円}の{外周}を{計算}する。,{えん}の{ちょっ}[けい]から、その{えん}の{がいしゅう}を{けいさん}する。
4,徒,と,{宗教}の{信}[徒]たちが{教会}に{集}まる。,{しゅうきょう}の{しん}[と]たちが{きょうかい}に{あつ}まる。
4,必,かなら,{明日}こそ、{本}を{返}してね。[必]ずだよ。,{あす}こそ、{ほん}を{かえ}してね。[かなら]ずだよ。
4,必,ひつ,{料理}に[必]{要}なものを{買}いそろえる。,{りょうり}に[ひつ]{よう}なものを{か}いそろえる。
4,念,ねん,[念]{力}で、{曲}がったスプーンを{直}す。,[ねん]{りき}で、{ま}がったスプーンを{なお}す。
4,愛,あい,{誕生日}にもらったペンを[愛]{用}している。,{たんじょうび}にもらったペンを[あい]{よう}している。
4,成,せい,{今学期}は{良}い[成]{績}で、{親}にほめてもらえた。,{こんがっき}は{よ}い[せい]{せき}で、{おや}にほめてもらえた。
4,成,な,ボランティアは{善意}によって[成]り{立}っている。,ボランティアは{ぜんい}によって[な]り{た}っている。
4,戦,せん,サッカーの{作}[戦]を{立}てる。,サッカーの{さく}[せん]を{た}てる。
4,戦,たたか,チャンピオンの{座}をかけて[戦]う。,チャンピオンの{ざ}をかけて[たたか]う。
4,折,お,{針金}を[折]り{曲}げる。,{はりがね}を[お]り{ま}げる。
4,折,おり,ひまなときに[折]よく、{遊}びにさそわれる。,ひまなときに[おり]よく、{あそ}びにさそわれる。
4,折,せつ,{信号}の{前}で{右}[折]してコンビニに{入}る。,{しんごう}の{まえ}で{う}[せつ]してコンビニに{はい}る。
4,挙,あ,{左右}を{確認}して、{手}を[挙]げて{横断歩道}をわたる。,{さゆう}を{かくにん}して、{て}を[あ]げて{おうだんほどう}をわたる。
4,改,あらた,{母}におこられて、{態度}を[改]める。,{はは}におこられて、{たいど}を[あらた]める。
4,改,かい,{正義}のヒーローのおかげで、{悪人}が[改]{心}した。,{せいぎ}のヒーローのおかげで、{あくにん}が[かい]{しん}した。
4,敗,はい,{戦}いに[敗]{北}した{武将}がにげだす。,{たたか}いに[はい]{ぼく}した{ぶしょう}がにげだす。
4,敗,やぶ,ヘビー{級王者}にいどむも[敗]れてしまった。,ヘビー{きゅうおうじゃ}にいどむも[やぶ]れてしまった。
4,散,さん,{庭}に{殺虫}ざいを[散]{布}する。,{にわ}に{さっちゅう}ざいを[さん]{ぷ}する。
4,散,ち,{片付}けたばかりの{部屋}を[散]らかす。,{かたづ}けたばかりの{へや}を[ち]らかす。
4,料,りょう,[料]{金}をはらって{高速道路}から{出}る。,[りょう]{きん}をはらって{こうそくどうろ}から{で}る。
4,旗,き,{色々}な{国}の{国}[旗]を{調}べる。,{いろいろ}な{くに}の{こっ}[き]を{しら}べる。
4,旗,はた,{人類}が{初}めて{月}に{着}いたときに、[旗]が{立}てられた。,{じんるい}が{はじ}めて{つき}に{つ}いたときに、[はた]が{た}てられた。
4,昨,さく,[昨]{夜}は{風}の{音}がうるさくてねむれなかった。,[さく]{や}は{かぜ}の{おと}がうるさくてねむれなかった。
4,最,さい,{勉強}の[最]{中}にじゃまをされておこる。,{べんきょう}の[さい]{ちゅう}にじゃまをされておこる。
4,最,もっと,お{店}の{中}で[最]も{大}きなスイカを{買}って{帰}る。,お{みせ}の{なか}で[もっと]も{おお}きなスイカを{か}って{かえ}る。
4,望,のぞ,あなたの[望]みを{三}つまでかなえましょう。,あなたの[のぞ]みを{みっ}つまでかなえましょう。
4,望,ぼう,アンケートで{客}からの{要}[望]を{聞}く。,アンケートで{きゃく}からの{よう}[ぼう]を{き}く。
4,未,み,{宇宙飛行士}が[未]{知}のわく{星}に{降}り{立}つ。,{うちゅうひこうし}が[み]{ち}のわく{ほし}に{お}り{た}つ。
4,末,すえ,うちの[末]っ{子}はまだ{三才}だ。,うちの[すえ]っ{こ}はまだ{さんさい}だ。
4,末,まつ,まっ{茶}の{粉}[末]がかかったスイーツを{食}べる。,まっ{ちゃ}の{ふん}[まつ]がかかったスイーツを{た}べる。
4,札,さつ,{改}[札]の{前}できっぷを{取}り{出}す。,{かい}[さつ]の{まえ}できっぷを{と}り{だ}す。
4,札,ふだ,{名}[札]を{見}てその{人}の{名前}を{覚}える。,{な}[ふだ]を{み}てその{ひと}の{なまえ}を{おぼ}える。
4,材,ざい,{新聞記者}から{取}[材]を{受}ける。,{しんぶんきしゃ}から{しゅ}[ざい]を{う}ける。
4,束,そく,{練習}の{中}でチームの{結}[束]が{強}くなる。,{れんしゅう}の{なか}でチームの{けっ}[そく]が{つよ}くなる。
4,束,たば,コードの{余}った{部分}を[束]ねておく。,コードの{あま}った{ぶぶん}を[たば]ねておく。
4,松,しょう,[松]・{竹}・{梅}の{中}からコースを{選}ぶ。,[しょう]・{ちく}・{ばい}の{なか}からコースを{えら}ぶ。
4,松,まつ,ぼんさいで[松]の{木}を{育}てる。,ぼんさいで[まつ]の{き}を{そだ}てる。
4,果,か,[果]{樹園}でしぼりたてのジュースを{買}う。,[か]{じゅえん}でしぼりたてのジュースを{か}う。
4,果,は,くじ{引}きの{屋台}でおこづかいを{使}い[果]たす。,くじ{び}きの{やたい}でおこづかいを{つか}い[は]たす。
4,栃,とち,{今}は[栃]{木県}に{住}んでいるが、{出身}は{東京}だ。,{いま}は[とち]{ぎけん}に{す}んでいるが、{しゅっしん}は{とうきょう}だ。
4,栄,えい,おかしばかりじゃなくて、もっと[栄]{養}のあるものも{食}べなさい。,おかしばかりじゃなくて、もっと[えい]{よう}のあるものも{た}べなさい。
4,栄,さか,あの{街}は{観光名所}が{出来}てから、{急激}に[栄]えた。,あの{まち}は{かんこうめいしょ}が{でき}てから、{きゅうげき}に[さか]えた。
4,案,あん,ツアー{旅行}でガイドさんに[案]{内}してもらう。,ツアー{りょこう}でガイドさんに[あん]{ない}してもらう。
4,梅,うめ,[梅]{干}し{入}りのおにぎりを{食}べる。,[うめ]{ぼ}し{い}りのおにぎりを{た}べる。
4,梅,ばい,[梅]{林}の{中}をのんびり{歩}く。,[ばい]{りん}の{なか}をのんびり{ある}く。
4,械,かい,とても{大}きな{機}[械]が{動}いている。,とても{おお}きな{き}[かい]が{うご}いている。
4,極,きょく,{積}[極]{的}に{発表}していることを{先生}にほめられた。,{せっ}[きょく]{てき}に{はっぴょう}していることを{せんせい}にほめられた。
4,標,ひょう,クマの[標]{本}が{展示}されている。,クマの[ひょう]{ほん}が{てんじ}されている。
4,機,き,この{電子}レンジにはたくさんの[機]{能}が{付}いている。,この{でんし}レンジにはたくさんの[き]{のう}が{つ}いている。
4,欠,か,ゆかに{落}としてお{皿}が[欠]けてしまった。,ゆかに{お}としてお{さら}が[か]けてしまった。
4,欠,けつ,{花}を{大}きく{育}てるには{水}と{日光}が{必要不可}[欠]だ。,{はな}を{おお}きく{そだ}てるには{みず}と{にっこう}が{ひつようふか}[けつ]だ。
4,残,のこ,[残]っている。,[のこ]っている。
4,残,ざん,{大会}で{優勝}できなくてとても[残]{念}だ。,{たいかい}で{ゆうしょう}できなくてとても[ざん]{ねん}だ。
4,残,のこ,おかしを{食}べ{過}ぎて{晩}ごはんを[残]した。,おかしを{た}べ{す}ぎて{ばん}ごはんを[のこ]した。
4,氏,し,{受付}の{人}に{自分}の[氏]{名}を{伝}える。,{うけつけ}の{ひと}に{じぶん}の[し]{めい}を{つた}える。
4,民,みん,{市}[民]ホールでコンサートが{開}かれる。,{し}[みん]ホールでコンサートが{ひら}かれる。
4,求,きゅう,ゆうかい{犯}からお{金}を{要}[求]される。,ゆうかい{はん}からお{かね}を{よう}[きゅう]される。
4,求,もと,{年末}はおもちを{買}い[求]める{人}が{多}くなる。,{ねんまつ}はおもちを{か}い[もと]める{ひと}が{おお}くなる。
4,沖,おき,{修学旅行}の{行}き{先}は[沖]{縄}だ。,{しゅうがくりょこう}の{い}き{さき}は[おき]{なわ}だ。
4,治,おさ,{王様}によって{国}が[治]められる。,{おうさま}によって{くに}が[おさ]められる。
4,治,じ,{政}[治]に{関心}を{持}つ。,{せい}[じ]に{かんしん}を{も}つ。
4,治,ち,{病院}でケガを[治]りょうしてもらう。,{びょういん}でケガを[ち]りょうしてもらう。
4,治,なお,ばんそうこうをはって{自然}に[治]るのを{待}つ。,ばんそうこうをはって{しぜん}に[なお]るのを{ま}つ。
4,法,ほう,{薬}は{用}[法]・{用量}を{守}ってお{飲}みください。,{くすり}は{よう}[ほう]・{ようりょう}を{まも}ってお{の}みください。
4,泣,な,{映画}を{見}て{思}わず[泣]いてしまった。,{えいが}を{み}て{おも}わず[な]いてしまった。
4,浅,あさ,{海}の[浅]いところで{遊}ぶ。,{うみ}の[あさ]いところで{あそ}ぶ。
4,浴,あ,{川}で{野鳥}が{水}を[浴]びている。,{かわ}で{やちょう}が{みず}を[あ]びている。
4,浴,あ,{記者会見}で{政治家}に{次々}と{質問}が[浴]びせられる。,{きしゃかいけん}で{せいじか}に{つぎつぎ}と{しつもん}が[あ]びせられる。
4,浴,よく,{来週}、みんなで{海水}[浴]に{行}かない？,{らいしゅう}、みんなで{かいすい}[よく]に{い}かない？
4,清,きよ,{家}の{前}をほうきではき[清]める。,{いえ}の{まえ}をほうきではき[きよ]める。
4,清,せい,{下書}きした{文章}をペンで[清]{書}する。,{したが}きした{ぶんしょう}をペンで[せい]{しょ}する。
4,満,まん,{朝}の[満]{員電車}に{乗}りこむ。,{あさ}の[まん]{いんでんしゃ}に{の}りこむ。
4,満,み,{水}とうの{中}をジュースで[満]たす。,{すい}とうの{なか}をジュースで[み]たす。
4,満,み,{自信}に[満]ちた{態度}で{演説}をする。,{じしん}に[み]ちた{たいど}で{えんぜつ}をする。
4,滋,しが,テレビで[滋]{賀県}の{方言}を{知}った。,テレビで[しが]{けん}の{ほうげん}を{し}った。
4,漁,ぎょ,{明治時代}は[漁]{村}だったのが{発展}して、{今}の{町}になった。,{めいじじだい}は[ぎょ]{そん}だったのが{はってん}して、{いま}の{まち}になった。
4,漁,ぎょ,[漁]{船}が{大漁旗}をあげて{帰}ってきた。,[ぎょ]{せん}が{たいりょうき}をあげて{かえ}ってきた。
4,潟,がた,{新}[潟]{県}の{親}せきから{新米}が{届}いた。,{にい}[がた]{けん}の{しん}せきから{しんまい}が{とど}いた。
4,灯,とう,[灯]{台}の{光}をたよりにして{船}を{進}める。,[とう]{だい}の{ひかり}をたよりにして{ふね}を{すす}める。
4,無,な,{先生}が{休}んで、{今日}の{小}テストが[無]くなる。,{せんせい}が{やす}んで、{きょう}の{しょう}テストが[な]くなる。
4,無,ぶ,{火事}が{起}こりかけたが、[無]{事}に{消火}された。,{かじ}が{お}こりかけたが、[ぶ]{じ}に{しょうか}された。
4,無,む,{気}まずいふんいきで[無]{言}になる。,{き}まずいふんいきで[む]{ごん}になる。
4,然,ぜん,テレビがとつ[然]こわれてしまう。,テレビがとつ[ぜん]こわれてしまう。
4,然,ねん,{天}[然]の{温泉}に{入}りに{行}く。,{てん}[ねん]の{おんせん}に{はい}りに{い}く。
4,焼,や,{朝}ごはんに{目玉}[焼]きを{食}べる。,{あさ}ごはんに{めだま}[や]きを{た}べる。
4,照,しょう,{暗}くなってきたので[照]{明}をつける。,{くら}くなってきたので[しょう]{めい}をつける。
4,照,て,かのじょは[照]れ{屋}ですぐ{顔}が{赤}くなる。,かのじょは[て]れ{や}ですぐ{かお}が{あか}くなる。
4,熊,くま,{白}[熊]がいるのは{南極}だったっけ？,{しろ}[くま]がいるのは{なんきょく}だったっけ？
4,熱,ねつ,しゅみのバスケに{情}[熱]を{燃}やす。,しゅみのバスケに{じょう}[ねつ]を{も}やす。
4,牧,ぼく,{教会}の[牧]{師}さんになやみを{相談}する。,{きょうかい}の[ぼく]{し}さんになやみを{そうだん}する。
4,特,とく,{旅行先}の[特]{産品}を{使}ったおかしを{食}べる。,{りょこうさき}の[とく]{さんひん}を{つか}ったおかしを{た}べる。
4,産,う,ウミガメがなみだを{流}しながら{卵}を[産]む。,ウミガメがなみだを{なが}しながら{たまご}を[う]む。
4,産,さん,{現代}はインターネット{関連}の[産]{業}が{多}い。,{げんだい}はインターネット{かんれん}の[さん]{ぎょう}が{おお}い。
4,的,てき,うらない{師}の{予言}が[的]{中}する。,うらない{し}の{よげん}が[てき]{ちゅう}する。
4,的,まと,{話}を{聞}かず、[的]はずれなことを{言}ってしまう。,{はなし}を{き}かず、[まと]はずれなことを{い}ってしまう。
4,省,しょう,{長}い{話}を[省]{略}して{説明}する。,{なが}い{はなし}を[しょう]{りゃく}して{せつめい}する。
4,省,せい,{反}[省]{文}を{書}く。,{はん}[せい]{ぶん}を{か}く。
4,省,はぶ,{余計}な{手間}を[省]いて{作業}する。,{よけい}な{てま}を[はぶ]いて{さぎょう}する。
4,祝,いわ,{大会}の{優勝}をみんなでお[祝]いする。,{たいかい}の{ゆうしょう}をみんなでお[いわ]いする。
4,祝,しゅく,{友達}のけっこんを[祝]{福}する。,{ともだち}のけっこんを[しゅく]{ふく}する。
4,票,ひょう,{信}らいできる{人}に{投}[票]する。,{しん}らいできる{ひと}に{とう}[ひょう]する。
4,種,しゅ,いろいろな[種]{類}の{薬品}を{調合}する。,いろいろな[しゅ]{るい}の{やくひん}を{ちょうごう}する。
4,種,たね,{庭}に{花}の[種]をたくさんまく。,{にわ}に{はな}の[たね]をたくさんまく。
4,積,せき,{一番面}[積]が{広}い{部屋}にテレビを{置}く。,{いちばんめん}[せき]が{ひろ}い{へや}にテレビを{お}く。
4,積,つ,{雪}が[積]もって{歩}きづらくなる。,{ゆき}が[つ]もって{ある}きづらくなる。
4,競,きょう,{友達}と{計算}の{速}さで[競]{争}する。,{ともだち}と{けいさん}の{はや}さで[きょう]{そう}する。
4,競,けい,この{牧場}では[競]{馬}に{出}る{馬}を{育}てている。,この{ぼくじょう}では[けい]{ば}に{で}る{うま}を{そだ}てている。
4,笑,わら,となりの{教室}から[笑]い{声}が{聞}こえてきた。,となりの{きょうしつ}から[わら]い{ごえ}が{き}こえてきた。
4,管,かん,[管]{制}とうが{飛行機}のパイロットに{指示}する。,[かん]{せい}とうが{ひこうき}のパイロットに{しじ}する。
4,管,くだ,{古}い[管]を{新品}のホースに{取}りかえる。,{ふる}い[くだ]を{しんぴん}のホースに{と}りかえる。
4,節,せつ,おこづかいを[節]{約}して{貯金}する。,おこづかいを[せつ]{やく}して{ちょきん}する。
4,節,ふし,{四月}は{学年}が{変}わる[節]{目}の{時期}だ。,{よんがつ}は{がくねん}が{か}わる[ふし]{め}の{じき}だ。
4,約,やく,ネットでホテルを{予}[約]する。,ネットでホテルを{よ}[やく]する。
4,結,けつ,{書}いていた{物語}を{完}[結]させる。,{か}いていた{ものがたり}を{かん}[けつ]させる。
4,結,むす,リレーの{前}にくつひもをしっかり[結]んでおく。,リレーの{まえ}にくつひもをしっかり[むす]んでおく。
4,給,きゅう,ガソリンスタンドで{車}に[給]{油}する。,ガソリンスタンドで{くるま}に[きゅう]{ゆ}する。
4,続,ぞく,{大人気映画}の[続]{編}が{公開}される。,{だいにんきえいが}の[ぞく]{へん}が{こうかい}される。
4,続,つづ,カラオケで{二時間}のあいだ{歌}い[続]ける。,カラオケで{にじかん}のあいだ{うた}い[つづ]ける。
4,縄,なわ,[縄]とびの{難}しいわざを{身}につけた。,[なわ]とびの{むずか}しいわざを{み}につけた。
4,置,お,テーブルの{上}にお{皿}とコップを[置]く。,テーブルの{うえ}にお{さら}とコップを[お]く。
4,置,ち,{机}がボロボロのまま{放}[置]されている。,{つくえ}がボロボロのまま{ほう}[ち]されている。
4,群,ぐん,[群]{馬県}はこんにゃくの{生産量}が{全国一位}だ。,[ぐん]{まけん}はこんにゃくの{せいさんりょう}が{ぜんこくいちい}だ。
4,群,む,ゾウは[群]れを{作}って{暮}らしている。,ゾウは[む]れを{つく}って{く}らしている。
4,群,むら,セール{品}に{買}い{物客}が[群]がる。,セール{ひん}に{か}い{ものきゃく}が[むら]がる。
4,老,お,{年}[老]いて{激}しい{運動}ができなくなる。,{とし}[お]いて{はげ}しい{うんどう}ができなくなる。
4,老,ろう,{道}ばたの[老]{人}に{道}をたずねる。,{みち}ばたの[ろう]{じん}に{みち}をたずねる。
4,臣,しん,{王}さまが[臣]{下}たちに{命令}する。,{おう}さまが[しん]{か}たちに{めいれい}する。
4,臣,じん,{総理大}[臣]が{中心}になって{会議}が{行}われる。,{そうりだい}[じん]が{ちゅうしん}になって{かいぎ}が{おこな}われる。
