学年,対象の漢字,読み,文章,ぶんしょう,英語,スペイン語
4,倉,そう,{非常食}を[倉]{庫}にしまっておく。,{ひじょうしょく}を[そう]{こ}にしまっておく。,Store emergency food in the warehouse.,Almacene alimentos de emergencia en el almacén.
4,候,こう,{生徒会長}の{選挙}に{立}[候]{補}する。,{せいとかいちょう}の{せんきょ}に{りっ}[こう]{ほ}する。,Run for student council president election.,Postúlate para la elección de presidente del consejo estudiantil.
4,借,か,{銀行}からお{金}を[借]りる。,{ぎんこう}からお{かね}を[か]りる。,borrow money from a bank.,pedir prestado dinero a un banco.
4,借,しゃく,[借]{家}のゆかに{傷}をつけてしまう。,[しゃく]{や}のゆかに{きず}をつけてしまう。,Damage to the roof of the rented house.,Daños en el techo de la casa alquilada.
4,健,けん,{具合}の{悪}そうな{友達}を{保}[健]{室}に{連}れて{行}く。,{ぐあい}の{わる}そうな{ともだち}を{ほ}[けん]{しつ}に{つ}れて{い}く。,Take your sick friend to the nurse's office.,Lleva a tu amigo enfermo a la enfermería.
4,側,がわ,プリントの{裏}[側]に{落書}きする。,プリントの{うら}[がわ]に{らくが}きする。,Doodle on the back of the print.,Garabato en la parte posterior de la impresión.
4,側,そく,{箱}の[側]{面}に{中身}を{書}いておく。,{ばこ}の[そく]{めん}に{なかみ}を{か}いておく。,Write the contents on the side of the box.,Escribe el contenido en el costado de la caja.
4,働,どう,{勤}めている{会社}の{労}[働]{組合}に{入}る。,{つと}めている{かいしゃ}の{ろう}[どう]{くみあい}に{はい}る。,Join the labor union of the company you work for.,Afiliarse al sindicato de la empresa para la que trabaja.
4,働,はたら,{熱心}に[働]く。,{ねっしん}に[はたら]く。,Work hard.,Atarearse.
4,億,おく,いつか[億]{万長者}になって、{思}い{切}りぜいたくしてみたいなあ。,いつか[おく]{まんちょうじゃ}になって、{おも}い{き}りぜいたくしてみたいなあ。,I would like to become a millionaire someday and live in luxury to the fullest.,Me gustaría algún día convertirme en millonario y vivir al máximo el lujo.
4,兆,ちょう,もし{願}いがかなうのなら、{百}[兆]{円}ほしい！,もし{ねが}いがかなうのなら、{ひゃく}[ちょう]{えん}ほしい！,"If my wish could come true, I would like it to be 100 trillion yen!","Si mi deseo pudiera hacerse realidad, ¡me gustaría que fueran 100 billones de yenes!"
4,児,じ,{記念日}に[児]{童}たちにおかしが{配}られた。,{きねんび}に[じ]{どう}たちにおかしが{くば}られた。,Sweets were distributed to the children on the anniversary.,Se repartieron dulces a los niños con motivo del aniversario.
4,共,きょう,ペットの{写真}をＳＮＳで[共]{有}する。,ペットの{しゃしん}をＳＮＳで[きょう]{ゆう}する。,Share photos of your pet on SNS.,Comparte fotos de tu mascota en SNS.
4,共,とも,{勇者}が{仲間}たちと[共]にま{王}をたおす{旅}に{出}る。,{ゆうしゃ}が{なかま}たちと[とも]にま{おう}をたおす{たび}に{で}る。,A hero goes on a journey to defeat the king with his friends.,Un héroe emprende un viaje para derrotar al rey con sus amigos.
4,兵,ひょう,[兵]{庫県}の{県庁所在地}は{神戸市}だ。,[ひょう]{ごけん}の{けんちょうしょざいち}は{こうべし}だ。,The prefectural capital of Hyogo Prefecture is Kobe City.,La capital de la prefectura de Hyogo es la ciudad de Kobe.
4,兵,へい,セーラー{服}は、{水}[兵]が{着}るものでもある。,セーラー{ふく}は、{すい}[へい]が{き}るものでもある。,Sailor uniforms are also worn by sailors.,Los marineros también usan uniformes de marinero.
4,典,てん,{映画館}の{入場者特}[典]でパンフレットをもらった。,{えいがかん}の{にゅうじょうしゃとく}[てん]でパンフレットをもらった。,I received a pamphlet as a benefit for movie theater visitors.,Recibí un folleto como beneficio para los visitantes del cine.
4,冷,さ,たこ{焼}きが[冷]める{前}にほおばる。,たこ{や}きが[さ]める{まえ}にほおばる。,Eat the takoyaki before it gets cold.,Come el takoyaki antes de que se enfríe.
4,冷,つめ,{運動後}に[冷]たいジュースをがぶ{飲}みする。,{うんどうご}に[つめ]たいジュースをがぶ{の}みする。,Gulp down some cold juice after your workout.,Beba un poco de jugo frío después de hacer ejercicio.
4,冷,ひ,やけどした{部分}を{氷}で[冷]やす。,やけどした{ぶぶん}を{こおり}で[ひ]やす。,Cool the burnt area with ice.,Enfríe el área quemada con hielo.
4,冷,れい,{雪女}がとてつもない[冷]{気}を{放}つ。,{ゆきおんな}がとてつもない[れい]{き}を{はな}つ。,The Yuki-onna releases tremendous cold air.,La Yuki-onna libera un tremendo aire frío.
4,初,はつ,{群馬県}には{日本}[初]の{製糸工場}が{建}てられた。,{ぐんまけん}には{にっぽん}[はつ]の{せいしこうじょう}が{た}てられた。,Japan's first silk mill was built in Gunma Prefecture.,La primera fábrica de seda de Japón se construyó en la prefectura de Gunma.
4,初,しょ,[初]{心者向}けのジグソーパズルを{買}う。,[しょ]{しんしゃむ}けのジグソーパズルを{か}う。,Buy jigsaw puzzles for beginners.,Compra rompecabezas para principiantes.
4,初,はじ,{本物}のクマを[初]めて{見}る。,{ほんもの}のクマを[はじ]めて{み}る。,Seeing a real bear for the first time.,Ver un oso real por primera vez.
4,初,はつ,[初]{夢}で{富士山}の{夢}を{見}た。,[はつ]{ゆめ}で{ふじやま}の{ゆめ}を{み}た。,"In my first dream, I dreamed of Mt. Fuji.","En mi primer sueño, soñé con el monte Fuji."
4,別,べつ,{目}が{悪}く、キャベツとレタスを{区}[別]できない。,{め}が{わる}く、キャベツとレタスを{く}[べつ]できない。,My eyesight is so bad that I can't tell the difference between cabbage and lettuce.,Mi vista es tan mala que no puedo distinguir entre el repollo y la lechuga.
4,別,わか,{長}い{旅}の{中}で、{何度}も{出会}いと[別]れをくり{返}した。,{なが}い{たび}の{なか}で、{なんど}も{であ}いと[わか]れをくり{かえ}した。,"During the long journey, we met and parted many times.","Durante el largo viaje, nos encontramos y nos separamos muchas veces."
4,利,り,ボロボロの{服}をぞうきんにして{再}[利]{用}する。,ボロボロの{ふく}をぞうきんにして{さい}[り]{よう}する。,Reuse your tattered clothes by turning them into rags.,Reutiliza tu ropa hecha jirones convirtiéndola en harapos.
4,刷,さつ,クラス{全員分}のプリントを{印}[刷]する。,クラス{ぜんいんぶん}のプリントを{いん}[さつ]する。,Print out copies for the entire class.,Imprima copias para toda la clase.
4,刷,す,インクをつけて{版画}を[刷]るときはきんちょうする。,インクをつけて{はんが}を[す]るときはきんちょうする。,"When applying ink to print a print, it is done.","Cuando aplique tinta para imprimir una impresión, hágalo con cuidado."
4,副,ふく,かぜ{薬}の[副]{作用}でねむくなる。,かぜ{ぐすり}の[ふく]{さよう}でねむくなる。,I feel sleepy as a side effect of cold medicine.,Tengo sueño como efecto secundario de los medicamentos para el resfriado.
4,功,こう,{素晴}らしい[功]{績}をたたえて{賞状}がおくられる。,{すば}らしい[こう]{せき}をたたえて{しょうじょう}がおくられる。,Certificates are awarded in recognition of outstanding achievements.,Los certificados se otorgan en reconocimiento a logros destacados.
4,加,か,{昼休}みのドッジボールに{参}[加]する。,{ひるやす}みのドッジボールに{さん}[か]する。,Participate in dodgeball during lunch break.,Participe en balón prisionero durante el almuerzo.
4,加,くわ,{料理}がへたな{兄}が、{肉}じゃがに{大量}の{塩}を[加]える。,{りょうり}がへたな{あに}が、{にく}じゃがに{たいりょう}の{しお}を[くわ]える。,"My older brother, who is no good at cooking, adds a large amount of salt to the meat and potatoes.","Mi hermano, que no sabe cocinar, echa mucha sal a la carne y a las patatas."
4,努,つと,{授業}に{集中}するよう[努]める。,{じゅぎょう}に{しゅうちゅう}するよう[つと]める。,Try to concentrate in class.,Intenta concentrarte en clase.
4,努,ど,ゆうじくんは[努]{力家}だ。,ゆうじくんは[ど]{りょくか}だ。,Yuji-kun is a hard worker.,Yuji-kun es un gran trabajador.
4,労,ろう,{合戦}での{功}[労]に{応}じたほうびをあたえる。,{かっせん}での{こう}[ろう]に{おう}じたほうびをあたえる。,Give rewards based on your merits in battle.,Da recompensas según tus méritos en la batalla.
4,勇,いさ,[勇]み{足}な{行動}をしないよう、{言}い{聞}かせる。,[いさ]み{あし}な{こうどう}をしないよう、{い}い{き}かせる。,I tell them not to act too brave.,Les digo que no actúen con demasiada valentía.
4,勇,ゆう,{力強}い{言葉}に[勇]{気}をもらう。,{ちからづよ}い{ことば}に[ゆう]{き}をもらう。,Get courage from powerful words.,Obtenga coraje de palabras poderosas.
4,包,つつ,[包]みを{小}わきにかかえて{歩}く。,[つつ]みを{こ}わきにかかえて{ある}く。,I walk with the package under my arm.,Camino con el paquete bajo el brazo.
4,包,ほう,きょう{悪犯}を[包]{囲}してつかまえる。,きょう{わるはん}を[ほう]{い}してつかまえる。,Today we will surround and capture the criminals.,Hoy rodearemos y capturaremos a los criminales.
4,卒,そつ,[卒]{業式}の{日}に{泣}いてしまった。,[そつ]{ぎょうしき}の{ひ}に{な}いてしまった。,I cried on my graduation day.,Lloré el día de mi graduación.
4,協,きょう,{仲間}たちと[協]{力}して、ま{王}をたおすことができた。,{なかま}たちと[きょう]{りょく}して、ま{おう}をたおすことができた。,"By working together with my friends, I was able to defeat the king.","Trabajando junto con mis amigos, pude derrotar al rey."
4,単,たん,{英}[単]{語}をがんばって{暗記}する。,{えい}[たん]{ご}をがんばって{あんき}する。,Try your best to memorize English words.,Haz tu mejor esfuerzo para memorizar palabras en inglés.
4,博,はく,{一九七〇年}、{大阪}で{万国}[博]{覧会}が{開}かれた。,{いちきゅうななれいねん}、{おおさか}で{ばんこく}[はく]{らんかい}が{ひら}かれた。,"In 1970, the World's Fair was held in Osaka.",En 1970 se celebró la Exposición Universal en Osaka.
4,印,しるし,{自分}のものだと{分}かるように、{道具}に[印]をつけておく。,{じぶん}のものだと{わ}かるように、{どうぐ}に[しるし]をつけておく。,Mark your tools so you know they belong to you.,Marque sus herramientas para que sepa que le pertenecen.
4,参,さん,{遠足}におかしを{持}[参]する。,{えんそく}におかしを{じ}[さん]する。,Bring snacks on excursions.,Llevar snacks en las excursiones.
4,参,まい,おぼんの{日}に{墓}[参]りに{行}く。,おぼんの{ひ}に{はか}[まい]りに{い}く。,I go to visit a grave on Obon day.,Voy a visitar una tumba el día de Obon.
4,司,し,{討論会}で[司]{会}の{役}を{引}き{受}ける。,{とうろんかい}で[し]{かい}の{やく}を{ひ}き{う}ける。,Take on the role of moderator at a debate.,Asume el papel de moderador en un debate.
4,各,かく,{明日}の{図工}の{時間}は、[各]{自絵}の{具}を{持}ってきてください。,{あす}の{ずこう}の{じかん}は、[かく]{じえ}の{ぐ}を{も}ってきてください。,Please bring your own paints for tomorrow's art class.,Por favor traiga sus propias pinturas para la clase de arte de mañana.
4,周,しゅう,{桜}の{木}の[周]{辺}でお{花見}をする。,{さくら}の{き}の[しゅう]{へん}でお{はなみ}をする。,Enjoy cherry blossom viewing around the cherry blossom trees.,Disfrute viendo los cerezos en flor alrededor de los cerezos en flor.
4,周,まわ,[周]りの{人}に{助}けを{求}める。,[まわ]りの{ひと}に{たす}けを{もと}める。,Ask people around you for help.,Pide ayuda a las personas que te rodean.
4,唱,しょう,{合}[唱]の{練習}に{本気}で{取}り{組}む。,{がっ}[しょう]の{れんしゅう}に{ほんき}で{と}り{く}む。,Get serious about choir practice.,Tómate en serio la práctica del coro.
4,唱,とな,まほう{使}いがじゅもんを[唱]える。,まほう{つか}いがじゅもんを[とな]える。,The magician chants the spell.,El mago canta el hechizo.
4,器,き,ぼくは{不}[器]{用}で{絵}をかくのが{苦手}だ。,ぼくは{ぶ}[き]{よう}で{え}をかくのが{にがて}だ。,I'm clumsy and not good at drawing.,Soy torpe y no soy bueno dibujando.
4,固,かた,{紙}ねんどをかわかして[固]める。,{かみ}ねんどをかわかして[かた]める。,Heat and harden the paper clay.,Calentar y endurecer la arcilla de papel.
4,固,こ,{木}の{板}をネジでとめて[固]{定}する。,{き}の{いた}をネジでとめて[こ]{てい}する。,Secure the wooden board with screws.,Asegure la tabla de madera con tornillos.
4,城,しろ,[城]のあちこちにわなをしかける。,[しろ]のあちこちにわなをしかける。,Set traps all over the castle.,Coloca trampas por todo el castillo.
4,城,じょう,[城]{門}に{敵}がせめこんでくる。,[じょう]{もん}に{てき}がせめこんでくる。,Enemies are approaching the castle gate.,Los enemigos se acercan a la puerta del castillo.
4,埼,さい,[埼]{玉県}にある{鉄道博物館}に{行}く。,[さい]{たまけん}にある{てつどうはくぶつかん}に{い}く。,Go to the Railway Museum in Saitama Prefecture.,Vaya al Museo del Ferrocarril en la prefectura de Saitama.
4,塩,えん,{海}の{水}がしょっぱいのは、[塩]{分}がとけこんでいるからだ。,{うみ}の{みず}がしょっぱいのは、[えん]{ぶん}がとけこんでいるからだ。,Sea water is salty because it contains dissolved salt.,El agua de mar es salada porque contiene sal disuelta.
4,塩,しお,この{肉}じゃが、なんだか[塩]からくない？,この{にく}じゃが、なんだか[しお]からくない？,Isn't this meat and potatoes somehow salty?,¿No es esta carne y patatas algo salada?
4,変,か,このシリーズの{第四作目}では{主人公}が[変]わる。,このシリーズの{だいよんさくめ}では{しゅじんこう}が[か]わる。,The main character changes in the fourth installment of this series.,El personaje principal cambia en la cuarta entrega de esta serie.
4,変,へん,ヨウ{素液}を{加}えると、でんぷんが[変]{色}する。,ヨウ{そえき}を{くわ}えると、でんぷんが[へん]{しょく}する。,Adding iodine solution will change the color of the starch.,Agregar una solución de yodo cambiará el color del almidón.
4,夫,おっと,{家}に{来}た{友達}に[夫]をしょうかいする。,{いえ}に{き}た{ともだち}に[おっと]をしょうかいする。,I asked a friend who came to my house about my husband.,Le pregunté a una amiga que vino a mi casa por mi marido.
4,夫,ふ,{近所}に{子供}のいる[夫]{妻}が{引}っこしてくる。,{きんじょ}に{こども}のいる[ふ]{さい}が{ひ}っこしてくる。,A couple with children living in the neighborhood moves in.,Se muda una pareja con hijos que vive en el barrio.
4,失,うしな,ネコを{追}いかけていたが{見}[失]った。,ネコを{お}いかけていたが{み}[うしな]った。,"I was chasing a cat, but lost it.","Estaba persiguiendo a un gato, pero lo perdí."
4,失,しつ,お{客}さんに[失]{礼}なことを{言}っておこられた。,お{きゃく}さんに[しつ]{れい}なことを{い}っておこられた。,I got offended by saying something rude to a customer.,Me ofendí al decirle algo grosero a un cliente.
4,奈,なら,[奈]{良}の{大仏}は{約十五}メートルの{大}きさがある。,[なら]{}の{だいぶつ}は{やくじゅうご}メートルの{おお}きさがある。,The Great Buddha in Nara is approximately 15 meters in size.,El Gran Buda de Nara mide aproximadamente 15 metros.
4,好,こう,{今日}のごはんは{大}[好]{物}のハンバーグだ。,{きょう}のごはんは{だい}[こう]{ぶつ}のハンバーグだ。,Today's meal is my favorite hamburger steak.,La comida de hoy es mi hamburguesa favorita.
4,好,この,{宮田}さんはホラー{小説}が[好]みだ。,{みやた}さんはホラー{しょうせつ}が[この]みだ。,Mr. Miyata likes horror novels.,Al señor Miyata le gustan las novelas de terror.
4,好,す,{姉}はモンブランが{大}[好]きだ。,{あね}はモンブランが{だい}[す]きだ。,My sister loves Mont Blanc.,A mi hermana le encanta el Mont Blanc.
4,媛,えひめ,スーパーで{愛}[媛]{県}のミカンが{売}られていた。,スーパーで{}[えひめ]{けん}のミカンが{う}られていた。,Mandarin oranges from Ehime Prefecture were on sale at the supermarket.,En el supermercado se vendían mandarinas de la prefectura de Ehime.
4,季,き,[季]{節}の{変}わり{目}にかぜを{引}いてしまう。,[き]{せつ}の{か}わり{め}にかぜを{ひ}いてしまう。,I catch a cold when the seasons change.,Me resfrío cuando cambian las estaciones.
4,孫,そん,タイムマシンで{自分}の{子}[孫]に{会}いに{行}く。,タイムマシンで{じぶん}の{し}[そん]に{あ}いに{い}く。,Use a time machine to visit your descendants.,Utiliza una máquina del tiempo para visitar a tus descendientes.
4,孫,まご,おじいちゃんが[孫]をあまやかす。,おじいちゃんが[まご]をあまやかす。,Grandpa tricks his grandson.,El abuelo engaña a su nieto.
4,完,かん,{夏休}みの{自由研究}を[完]{成}させる。,{なつやす}みの{じゆうけんきゅう}を[かん]{せい}させる。,Complete independent research during summer vacation.,Complete una investigación independiente durante las vacaciones de verano.
4,官,かん,{警察}[官]が{犯人}を{取}りおさえた。,{けいさつ}[かん]が{はんにん}を{と}りおさえた。,A police officer apprehended the culprit.,Un policía detuvo al culpable.
4,害,がい,{運動会}の{障}[害]{物競走}で{一位}をとった。,{うんどうかい}の{しょう}[がい]{ぶつきょうそう}で{いちい}をとった。,I won first place in the obstacle course at the sports day.,Gané el primer lugar en la carrera de obstáculos del día deportivo.
4,富,と,{村田博士}は、こん{虫}の{知識}に[富]んでいる。,{むらたはかせ}は、こん{ちゅう}の{ちしき}に[と]んでいる。,Dr. Murata has a wealth of knowledge about insects.,El Dr. Murata tiene un gran conocimiento sobre insectos.
4,富,とみ,[富]をつかさどる{神様}においのりする。,[とみ]をつかさどる{かみさま}においのりする。,I worship the god who controls wealth.,Adoro al dios que controla la riqueza.
4,富,ふ,ビタミンが{豊}[富]な{野菜}を{食}べる。,ビタミンが{ほう}[ふ]な{やさい}を{た}べる。,Eat vegetables rich in vitamins.,Consuma verduras ricas en vitaminas.
4,察,さつ,{警}[察]{官}になることを{目指}して{勉強}する。,{けい}[さつ]{かん}になることを{めざ}して{べんきょう}する。,Studying to become a police officer.,Estudiando para ser policía.
4,岐,ぎ,{関ケ原}の{戦}いは[岐]{阜県}で{起}こった。,{せきがはら}の{たたか}いは[ぎ]{ふけん}で{お}こった。,The Battle of Sekigahara took place in Gifu Prefecture.,La batalla de Sekigahara tuvo lugar en la prefectura de Gifu.
4,岡,おか,おいしいお{茶}で{有名}な、{静}[岡]{県}に{行}く。,おいしいお{ちゃ}で{ゆうめい}な、{しず}[おか]{けん}に{い}く。,"Let's go to Shizuoka Prefecture, which is famous for its delicious tea.","Vayamos a la prefectura de Shizuoka, famosa por su delicioso té."
4,崎,さき,{長}[崎]{県}は{島}の{数}の{多}さでは{日本一}だ。,{なが}[さき]{けん}は{しま}の{かず}の{おお}さでは{にっぽんいち}だ。,Nagasaki prefecture has the largest number of islands in Japan.,La prefectura de Nagasaki tiene el mayor número de islas de Japón.
4,巣,す,ツバメの[巣]を{使}った{中国}の{料理}を{食}べる。,ツバメの[す]を{つか}った{ちゅうごく}の{りょうり}を{た}べる。,Eating Chinese food using bird's nest.,Comer comida china usando nido de pájaro.
4,差,さ,カーテンのすき{間}から{光}が[差]す。,カーテンのすき{ま}から{ひかり}が[さ]す。,Light shines through the gap in the curtains.,La luz brilla a través del hueco de las cortinas.
4,差,さ,{二位}と{大}[差]をつけてゴールする。,{にい}と{たい}[さ]をつけてゴールする。,He finishes with a huge difference from second place.,Termina con una diferencia enorme respecto al segundo lugar.
4,希,き,[希]{少}な{鉱石}が{高値}で{取引}される。,[き]{しょう}な{こうせき}が{たかね}で{とりひき}される。,Rare ores are traded at high prices.,Los minerales raros se comercializan a precios elevados.
4,席,せき,{新幹線}の[席]を{予約}する。,{しんかんせん}の[せき]を{よやく}する。,Reserve a seat on the Shinkansen.,Reserva un asiento en el Shinkansen.
4,帯,お,かぶと{虫}は{丸}みを[帯]びた{姿}をしている。,かぶと{むし}は{まる}みを[お]びた{すがた}をしている。,Beetles have a rounded shape.,Los escarabajos tienen una forma redondeada.
4,帯,おび,{着物}の[帯]をきつくしめ{直}す。,{きもの}の[おび]をきつくしめ{なお}す。,Tighten the obi of the kimono again.,Vuelve a apretar el obi del kimono.
4,帯,たい,{海岸地}[帯]にある{街}が{本}で{取}り{上}げられる。,{かいがんち}[たい]にある{まち}が{ほん}で{と}り{あ}げられる。,A book features a town on the coast.,Un libro presenta un pueblo de la costa.
4,底,そこ,ぬまの[底]からカッパが{現}れた。,ぬまの[そこ]からカッパが{あらわ}れた。,A raincoat appeared from the bottom of the mud.,Un impermeable apareció desde el fondo del barro.
4,底,てい,[底]{辺}と{高}さから{四角形}の{面積}を{計算}する。,[てい]{へん}と{たか}さから{よんかくけい}の{めんせき}を{けいさん}する。,Calculate the area of ​​a rectangle from its base and height.,Calcula el área de un rectángulo a partir de su base y altura.
4,府,ふ,{政}[府]がきん{急事態宣言}を{出}した。,{せい}[ふ]がきん{きゅうじたいせんげん}を{だ}した。,The government has declared a state of emergency.,El gobierno ha declarado el estado de emergencia.
4,康,こう,{健}[康]に{気}をつけて{規則正}しい{生活}をする。,{けん}[こう]に{き}をつけて{きそくただ}しい{せいかつ}をする。,Take care of your health and lead a regular life.,Cuida tu salud y lleva una vida normal.
4,建,けん,{近所}に{大}きなマンションが[建]{設}される。,{きんじょ}に{おお}きなマンションが[けん]{せつ}される。,A large condominium is being built nearby.,Cerca se está construyendo un gran condominio.
4,建,た,ずっと{空}き{地}だったところに{家}が[建]つ。,ずっと{あ}き{ち}だったところに{いえ}が[た]つ。,A house is being built on what was a vacant lot for a long time.,Se está construyendo una casa en lo que durante mucho tiempo estuvo baldío.
4,径,けい,{円}の{直}[径]から、その{円}の{外周}を{計算}する。,{えん}の{ちょっ}[けい]から、その{えん}の{がいしゅう}を{けいさん}する。,Calculate the circumference of a circle from its diameter.,Calcula la circunferencia de un círculo a partir de su diámetro.
4,徒,と,{宗教}の{信}[徒]たちが{教会}に{集}まる。,{しゅうきょう}の{しん}[と]たちが{きょうかい}に{あつ}まる。,Religious believers gather at church.,Los creyentes religiosos se reúnen en la iglesia.
4,必,かなら,{明日}こそ、{本}を{返}してね。[必]ずだよ。,{あす}こそ、{ほん}を{かえ}してね。[かなら]ずだよ。,Please return the book tomorrow. Definitely.,Por favor devuelve el libro mañana. Definitivamente.
4,必,ひつ,{料理}に[必]{要}なものを{買}いそろえる。,{りょうり}に[ひつ]{よう}なものを{か}いそろえる。,Buy everything you need for cooking.,Compra todo lo que necesitas para cocinar.
4,念,ねん,[念]{力}で、{曲}がったスプーンを{直}す。,[ねん]{りき}で、{ま}がったスプーンを{なお}す。,Use telekinesis to fix a bent spoon.,Usa la telequinesis para arreglar una cuchara doblada.
4,愛,あい,{誕生日}にもらったペンを[愛]{用}している。,{たんじょうび}にもらったペンを[あい]{よう}している。,I love the pen I received for my birthday.,Me encanta el bolígrafo que recibí por mi cumpleaños.
4,成,せい,{今学期}は{良}い[成]{績}で、{親}にほめてもらえた。,{こんがっき}は{よ}い[せい]{せき}で、{おや}にほめてもらえた。,I got good grades this semester and was praised by my parents.,Obtuve buenas calificaciones este semestre y mis padres me elogiaron.
4,成,な,ボランティアは{善意}によって[成]り{立}っている。,ボランティアは{ぜんい}によって[な]り{た}っている。,Volunteer work is based on goodwill.,El trabajo voluntario se basa en la buena voluntad.
4,戦,せん,サッカーの{作}[戦]を{立}てる。,サッカーの{さく}[せん]を{た}てる。,Develop a soccer strategy.,Desarrollar una estrategia de fútbol.
4,戦,たたか,チャンピオンの{座}をかけて[戦]う。,チャンピオンの{ざ}をかけて[たたか]う。,Fight for the title of champion.,Lucha por el título de campeón.
4,折,お,{針金}を[折]り{曲}げる。,{はりがね}を[お]り{ま}げる。,Bend the wire.,Dobla el alambre.
4,折,おり,ひまなときに[折]よく、{遊}びにさそわれる。,ひまなときに[おり]よく、{あそ}びにさそわれる。,"Occasionally, when I have free time, I am tempted to play.","De vez en cuando, cuando tengo tiempo libre, me siento tentado a jugar."
4,折,せつ,{信号}の{前}で{右}[折]してコンビニに{入}る。,{しんごう}の{まえ}で{う}[せつ]してコンビニに{はい}る。,Turn right in front of the traffic light and enter the convenience store.,Gire a la derecha frente al semáforo y entre a la tienda de conveniencia.
4,挙,あ,{左右}を{確認}して、{手}を[挙]げて{横断歩道}をわたる。,{さゆう}を{かくにん}して、{て}を[あ]げて{おうだんほどう}をわたる。,Look both ways and raise your hands to cross the crosswalk.,Mire a ambos lados y levante la mano para cruzar el paso de peatones.
4,改,あらた,{母}におこられて、{態度}を[改]める。,{はは}におこられて、{たいど}を[あらた]める。,"When my mother gets mad at me, I change my attitude.","Cuando mi madre se enoja conmigo, cambio de actitud."
4,改,かい,{正義}のヒーローのおかげで、{悪人}が[改]{心}した。,{せいぎ}のヒーローのおかげで、{あくにん}が[かい]{しん}した。,"Thanks to the hero of justice, the villain was reformed.","Gracias al héroe de la justicia, el villano se reformó."
4,敗,はい,{戦}いに[敗]{北}した{武将}がにげだす。,{たたか}いに[はい]{ぼく}した{ぶしょう}がにげだす。,A military commander who is defeated in battle flees.,Un comandante militar que es derrotado en batalla huye.
4,敗,やぶ,ヘビー{級王者}にいどむも[敗]れてしまった。,ヘビー{きゅうおうじゃ}にいどむも[やぶ]れてしまった。,Idomu lost to the heavyweight champion.,Idomu perdió ante el campeón de peso pesado.
4,散,さん,{庭}に{殺虫}ざいを[散]{布}する。,{にわ}に{さっちゅう}ざいを[さん]{ぷ}する。,Spray the garden with insecticide.,Rocíe el jardín con insecticida.
4,散,ち,{片付}けたばかりの{部屋}を[散]らかす。,{かたづ}けたばかりの{へや}を[ち]らかす。,Make a mess in the room you just cleaned.,Haz un desastre en la habitación que acabas de limpiar.
4,料,りょう,[料]{金}をはらって{高速道路}から{出}る。,[りょう]{きん}をはらって{こうそくどうろ}から{で}る。,Pay the toll and exit the expressway.,Pague el peaje y salga de la autopista.
4,旗,き,{色々}な{国}の{国}[旗]を{調}べる。,{いろいろ}な{くに}の{こっ}[き]を{しら}べる。,Look up the flags of various countries.,Busca las banderas de varios países.
4,旗,はた,{人類}が{初}めて{月}に{着}いたときに、[旗]が{立}てられた。,{じんるい}が{はじ}めて{つき}に{つ}いたときに、[はた]が{た}てられた。,The flag was erected when humans first landed on the moon.,La bandera se erigió cuando los humanos llegaron por primera vez a la luna.
4,昨,さく,[昨]{夜}は{風}の{音}がうるさくてねむれなかった。,[さく]{や}は{かぜ}の{おと}がうるさくてねむれなかった。,Last night I couldn't sleep because the wind was so loud.,Anoche no pude dormir porque el viento era muy fuerte.
4,最,さい,{勉強}の[最]{中}にじゃまをされておこる。,{べんきょう}の[さい]{ちゅう}にじゃまをされておこる。,I get interrupted while studying.,Me interrumpen mientras estudio.
4,最,もっと,お{店}の{中}で[最]も{大}きなスイカを{買}って{帰}る。,お{みせ}の{なか}で[もっと]も{おお}きなスイカを{か}って{かえ}る。,I bought the biggest watermelon in the store and took it home.,Compré la sandía más grande de la tienda y me la llevé a casa.
4,望,のぞ,あなたの[望]みを{三}つまでかなえましょう。,あなたの[のぞ]みを{みっ}つまでかなえましょう。,Let us make up to three of your wishes come true.,Hagamos realidad hasta tres de tus deseos.
4,望,ぼう,アンケートで{客}からの{要}[望]を{聞}く。,アンケートで{きゃく}からの{よう}[ぼう]を{き}く。,Listen to customer requests through surveys.,Escuche las solicitudes de los clientes a través de encuestas.
4,未,み,{宇宙飛行士}が[未]{知}のわく{星}に{降}り{立}つ。,{うちゅうひこうし}が[み]{ち}のわく{ほし}に{お}り{た}つ。,An astronaut lands on an unknown planet.,Un astronauta aterriza en un planeta desconocido.
4,末,すえ,うちの[末]っ{子}はまだ{三才}だ。,うちの[すえ]っ{こ}はまだ{さんさい}だ。,My youngest child is only three years old.,Mi hijo menor tiene sólo tres años.
4,末,まつ,まっ{茶}の{粉}[末]がかかったスイーツを{食}べる。,まっ{ちゃ}の{ふん}[まつ]がかかったスイーツを{た}べる。,Eating sweets sprinkled with matcha powder.,Comer dulces espolvoreados con polvo de matcha.
4,札,さつ,{改}[札]の{前}できっぷを{取}り{出}す。,{かい}[さつ]の{まえ}できっぷを{と}り{だ}す。,Take out your ticket in front of the ticket gate.,Saque su boleto frente a la taquilla.
4,札,ふだ,{名}[札]を{見}てその{人}の{名前}を{覚}える。,{な}[ふだ]を{み}てその{ひと}の{なまえ}を{おぼ}える。,Look at the name tag and remember the person's name.,Mire la etiqueta con el nombre y recuerde el nombre de la persona.
4,材,ざい,{新聞記者}から{取}[材]を{受}ける。,{しんぶんきしゃ}から{しゅ}[ざい]を{う}ける。,Interviewed by a newspaper reporter.,Entrevistado por un periodista.
